"tourney_id","tourney_name","tourney_ioc","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points","tourney_date_num","w_w_14d","w_l_14d","l_w_14d","l_l_14d","w_w_28d","w_l_28d","l_w_28d","l_l_28d","mins_so_far_w","mins_so_far_l","rank_difference","rank_points_difference","winner_ioc_home_adv","winner_ioc_home_disadv","age_difference","age_mean_difference","winner_odds","loser_odds","winner_odds_prob","loser_odds_prob"
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,271,106329,NA,"","Thiago Monteiro","L",183,"BRA",26.598220397,105064,NA,"","Thomaz Bellucci","L",188,"BRA",33.015742642,"6-3 7-5",3,"R32",100,2,1,67,38,28,16,10,8,9,3,3,69,42,25,12,11,2,6,84,820,281,185,0,0,0,0,0,0,0,0,0,0,0,197,635,0,0,-6.417522245,-4.98665802562051,1.38,3,0.684931506849315,0.315068493150685
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,272,200624,NA,"","Sebastian Korda","R",196,"USA",20.501026694,126952,NA,"","Soon Woo Kwon","R",180,"KOR",23.0910335387,"6-4 6-4",3,"R32",93,8,1,88,53,36,18,10,5,6,4,4,50,29,22,11,10,1,4,119,566,95,768,0,0,0,0,0,0,0,0,0,0,0,-24,-202,1,0,-2.5900068447,2.5900068447,1.74,2.06,0.542105263157895,0.457894736842105
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,273,126205,"5","","Tommy Paul","R",185,"USA",23.6358658453,106227,NA,"","Ji Sung Nam","R",NA,"KOR",27.3894592745,"6-1 6-4",3,"R32",67,5,0,59,38,26,13,9,2,3,2,4,51,27,16,10,8,2,6,52,1080,268,205,0,0,0,0,0,0,0,0,0,0,0,216,875,1,0,-3.7535934292,3.60197989357949,1.12,5.91,0.840682788051209,0.159317211948791
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,275,111815,NA,"","Cameron Norrie","L",188,"GBR",25.3689253936,111574,NA,"WC","Jc Aragone","R",NA,"USA",25.5222450376,"6-2 6-1",3,"R32",67,3,2,48,31,26,10,8,3,3,2,2,47,28,13,7,7,4,8,74,877,299,165,0,0,0,0,0,0,0,0,0,0,0,225,712,0,1,-0.153319644,0.153319644,1.19,4.49,0.790492957746479,0.209507042253521
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,276,106216,NA,"","Bjorn Fratangelo","R",NA,"USA",27.4633812457,110536,NA,"Q","Kevin King","U",NA,"USA",29.8507871321,"6-2 6-2",3,"R32",69,0,0,51,25,22,15,8,2,2,2,2,49,32,17,7,8,2,6,274,195,304,154,0,0,0,0,0,0,0,0,0,0,0,30,41,0,0,-2.3874058864,-2.3874058864,1.5,2.54,0.628712871287129,0.371287128712871
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,277,126207,"8","","Frances Tiafoe","R",188,"USA",22.9568788501,105385,NA,"Q","Donald Young","L",183,"USA",31.4524298426,"6-3 6-4",3,"R32",76,2,1,51,26,20,16,9,1,2,4,6,73,43,28,11,10,4,8,62,1005,327,135,0,0,0,0,0,0,0,0,0,0,0,265,870,0,0,-8.4955509925,0.217996320679489,1.22,4.22,0.775735294117647,0.224264705882353
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,278,103333,NA,"","Ivo Karlovic","R",208,"CRO",41.8507871321,104665,"7","","Pablo Andujar","R",180,"ESP",34.9486652977,"6-3 5-7 6-4",3,"R32",136,27,9,101,63,51,15,16,2,4,0,5,100,63,41,21,15,5,8,148,444,59,1044,0,0,0,0,0,0,0,0,0,0,0,-89,-600,0,0,6.9021218344,6.9021218344,2.62,1.48,0.360975609756098,0.639024390243903
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,279,105933,NA,"Q","Roberto Quiroz","L",193,"ECU",28.8651608487,111511,NA,"WC","Noah Rubin","R",NA,"USA",24.8706365503,"7-6(1) 6-3",3,"R32",89,7,2,58,32,24,12,10,1,4,5,6,66,35,24,11,11,2,7,293,171,251,219,0,0,0,0,0,0,0,0,0,0,0,-42,-48,0,1,3.9945242984,-0.891507614379492,2.05,1.75,0.460526315789474,0.539473684210526
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,280,123755,NA,"","Daniel Elahi Galan","R",191,"COL",24.5475701574,105413,NA,"","Andrej Martin","R",180,"SVK",31.2908966461,"6-4 6-4",3,"R32",81,3,2,64,39,30,13,10,5,6,2,2,64,36,24,12,10,4,7,115,606,100,734,0,0,0,0,0,0,0,0,0,0,0,-15,-128,0,0,-6.7433264887,-1.21116179012051,1.44,2.76,0.657142857142857,0.342857142857143
"2021-0499","Delray Beach","USA","Hard",32,"A",20210104,282,105023,"6","","Sam Querrey","R",198,"USA",33.2457221081,111456,NA,"","Mackenzie Mcdonald","R",NA,"USA",25.7221081451,"6-3 6-4",3,"R32",70,13,2,66,36,30,14,10,6,7,4,2,52,32,19,12,9,3,6,56,1065,194,335,0,0,0,0,0,0,0,0,0,0,0,138,730,0,0,7.523613963,4.34052523982051,1.83,1.96,0.517150395778364,0.482849604221636
