names,result,odd1,odd2,
Ruud C. - Schwartzman D.,2:01,1.42,3.08,
Sonego L. - Schwartzman D.,1:02,2.43,1.62,
Ruud C. - Delbonis F.,2:00,1.2,4.59,
Cerundolo F. - Schwartzman D.,1:02,2.14,1.6,
Verdasco F. - Sonego L.,0:02,3.69,1.28,
Ruud C. - Coria F.,2:00,1.19,4.69,
Fognini F. - Delbonis F.,0:02,1.93,1.89,
Munar J. - Schwartzman D.,0:02,3.46,1.3,
Kecmanovic M. - Cerundolo F.,1:02,1.79,2.02,
Andujar-Alba P. - Delbonis F.,0:02,1.74,2.11,
Fognini F. - Martinez P.,2:00,2.64,1.47,
Baez S. - Sonego L.,0:02,1.9,1.87,
Ruud C. - Carballes Baena R.,2:00,1.22,4.22,
Monteiro T. - Verdasco F.,1:02,1.34,2.82,
Coria F. - Lajovic D.,2:01,1.83,1.97,
Del Potro J. - Delbonis F.,0:02,2.53,1.45,
Londero J. I. - Andujar-Alba P.,0:02,1.88,1.91,
Tabilo A. - Martinez P.,0:02,2.3,1.52,
Baez S. - Rune H.,2:00,1.54,2.45,
Ramos A. - Monteiro T.,0:02,1.61,2.11,
Carballes Baena R. - Jarry N.,2:00,1.81,2,
Munar J. - Etcheverry T. M.,2:00,1.7,2.13,
Cuevas P. - Coria F.,1:02,2.74,1.43,
Cerundolo F. - Bagnis F.,2:00,1.7,2.12,
Dellien H. - Verdasco F.,1:02,1.41,2.82,
Djere L. - Kecmanovic M.,1:02,1.83,1.88,
Paire B. - Lajovic D.,1:02,2.31,1.59,
