names,result,odd1,odd2,tourney_id,tourney_name,tourney_ioc
Ruud C. - Schwartzman D.,0.084027778,1.42,3.08,2022-0506,Buenos Aires,ARG
Sonego L. - Schwartzman D.,0.043055556,2.43,1.62,2022-0506,Buenos Aires,ARG
Ruud C. - Delbonis F.,0.083333333,1.2,4.59,2022-0506,Buenos Aires,ARG
Cerundolo F. - Schwartzman D.,0.043055556,2.14,1.6,2022-0506,Buenos Aires,ARG
Verdasco F. - Sonego L.,0.001388889,3.69,1.28,2022-0506,Buenos Aires,ARG
Ruud C. - Coria F.,0.083333333,1.19,4.69,2022-0506,Buenos Aires,ARG
Fognini F. - Delbonis F.,0.001388889,1.93,1.89,2022-0506,Buenos Aires,ARG
Munar J. - Schwartzman D.,0.001388889,3.46,1.3,2022-0506,Buenos Aires,ARG
Kecmanovic M. - Cerundolo F.,0.043055556,1.79,2.02,2022-0506,Buenos Aires,ARG
Andujar-Alba P. - Delbonis F.,0.001388889,1.74,2.11,2022-0506,Buenos Aires,ARG
Fognini F. - Martinez P.,0.083333333,2.64,1.47,2022-0506,Buenos Aires,ARG
Baez S. - Sonego L.,0.001388889,1.9,1.87,2022-0506,Buenos Aires,ARG
Ruud C. - Carballes Baena R.,0.083333333,1.22,4.22,2022-0506,Buenos Aires,ARG
Monteiro T. - Verdasco F.,0.043055556,1.34,2.82,2022-0506,Buenos Aires,ARG
Coria F. - Lajovic D.,0.084027778,1.83,1.97,2022-0506,Buenos Aires,ARG
Del Potro J. - Delbonis F.,0.001388889,2.53,1.45,2022-0506,Buenos Aires,ARG
Londero J. I. - Andujar-Alba P.,0.001388889,1.88,1.91,2022-0506,Buenos Aires,ARG
Tabilo A. - Martinez P.,0.001388889,2.3,1.52,2022-0506,Buenos Aires,ARG
Baez S. - Rune H.,0.083333333,1.54,2.45,2022-0506,Buenos Aires,ARG
Ramos A. - Monteiro T.,0.001388889,1.61,2.11,2022-0506,Buenos Aires,ARG
Carballes Baena R. - Jarry N.,0.083333333,1.81,2,2022-0506,Buenos Aires,ARG
Munar J. - Etcheverry T. M.,0.083333333,1.7,2.13,2022-0506,Buenos Aires,ARG
Cuevas P. - Coria F.,0.043055556,2.74,1.43,2022-0506,Buenos Aires,ARG
Cerundolo F. - Bagnis F.,0.083333333,1.7,2.12,2022-0506,Buenos Aires,ARG
Dellien H. - Verdasco F.,0.043055556,1.41,2.82,2022-0506,Buenos Aires,ARG
Djere L. - Kecmanovic M.,0.043055556,1.83,1.88,2022-0506,Buenos Aires,ARG
Paire B. - Lajovic D.,0.043055556,2.31,1.59,2022-0506,Buenos Aires,ARG
Schwartzman D. - Cerundolo F.,0.083333333,1.19,4.73,2021-0506,Buenos Aires,ARG
Schwartzman D. - Kecmanovic M.,0.083333333,1.24,4.16,2021-0506,Buenos Aires,ARG
Cerundolo F. - Ramos A.,0.084027778,1.65,2.27,2021-0506,Buenos Aires,ARG
Schwartzman D. - Munar J.,0.083333333,1.31,3.39,2021-0506,Buenos Aires,ARG
Kecmanovic M. - Djere L.,0.083333333,2.1,1.72,2021-0506,Buenos Aires,ARG
Andujar-Alba P. - Cerundolo F.,0.043055556,1.98,1.83,2021-0506,Buenos Aires,ARG
Ramos A. - Nagal S.,0.084027778,1.59,2.34,2021-0506,Buenos Aires,ARG
Schwartzman D. - Klein L.,0.083333333,1.13,6.18,2021-0506,Buenos Aires,ARG
Munar J. - Tiafoe F.,0.083333333,1.92,1.87,2021-0506,Buenos Aires,ARG
Cerundolo F. - Paire B.,0.084027778,1.35,3.19,2021-0506,Buenos Aires,ARG
Andujar-Alba P. - Mager G.,0.083333333,1.53,2.48,2021-0506,Buenos Aires,ARG
Nagal S. - Garin C.,0.083333333,2.74,1.45,2021-0506,Buenos Aires,ARG
Delbonis F. - Djere L.,0.001388889,2.3,1.61,2021-0506,Buenos Aires,ARG
Ramos A. - Koepfer D.,0.083333333,1.97,1.81,2021-0506,Buenos Aires,ARG
Kecmanovic M. - Monteiro T.,0.084027778,2.45,1.54,2021-0506,Buenos Aires,ARG
Delbonis F. - Cerundolo J. M.,0.083333333,1.59,2.35,2021-0506,Buenos Aires,ARG
Bagnis F. - Tiafoe F.,0.001388889,2.09,1.73,2021-0506,Buenos Aires,ARG
Ramos A. - Rune H.,0.084027778,1.41,2.88,2021-0506,Buenos Aires,ARG
Cerundolo F. - Coria F.,0.083333333,1.65,2.22,2021-0506,Buenos Aires,ARG
Diaz Acosta F. - Munar J.,0.001388889,5.99,1.12,2021-0506,Buenos Aires,ARG
Sousa J. - Nagal S.,0.001388889,2.76,1.43,2021-0506,Buenos Aires,ARG
Mager G. - Caruso S.,0.083333333,2.05,1.75,2021-0506,Buenos Aires,ARG
Martin A. - Klein L.,0.001388889,2.26,1.63,2021-0506,Buenos Aires,ARG
Carballes Baena R. - Monteiro T.,0.001388889,2.74,1.44,2021-0506,Buenos Aires,ARG
Andujar-Alba P. - Londero J. I.,0.083333333,1.88,1.89,2021-0506,Buenos Aires,ARG
Koepfer D. - Tirante T. A.,0.084027778,1.61,2.3,2021-0506,Buenos Aires,ARG
Nagal S. - Kicker N.,0.084027778,1.99,1.79,2021-0506,Buenos Aires,ARG
Cecchinato M. - Djere L.,0.043055556,1.76,2.03,2021-0506,Buenos Aires,ARG
Tabilo A. - Ramos A.,0.043055556,2.17,1.74,2022-9158,Cordoba,ARG
Ramos A. - Londero J. I.,0.083333333,1.63,2.37,2022-9158,Cordoba,ARG
Schwartzman D. - Tabilo A.,0.001388889,1.37,3.3,2022-9158,Cordoba,ARG
Baez S. - Tabilo A.,0.001388889,1.43,2.79,2022-9158,Cordoba,ARG
Schwartzman D. - Galan Riveros D. E.,0.084027778,1.2,4.6,2022-9158,Cordoba,ARG
Londero J. I. - Milojevic N.,0.083333333,1.43,2.84,2022-9158,Cordoba,ARG
Ramos A. - Sonego L.,0.083333333,2.23,1.66,2022-9158,Cordoba,ARG
Tabilo A. - Taberner C.,0.083333333,1.72,2.11,2022-9158,Cordoba,ARG
Garin C. - Baez S.,0.043055556,1.74,2.1,2022-9158,Cordoba,ARG
Carballes Baena R. - Sonego L.,0.043055556,2.38,1.56,2022-9158,Cordoba,ARG
Ramos A. - Varillas J. P.,ret.,1.6,2.32,2022-9158,Cordoba,ARG
Etcheverry T. M. - Milojevic N.,0.001388889,1.45,2.69,2022-9158,Cordoba,ARG
Schwartzman D. - Ficovich J. P.,0.083333333,1.15,5.44,2022-9158,Cordoba,ARG
Martinez P. - Londero J. I.,0.001388889,1.47,2.58,2022-9158,Cordoba,ARG
Galan Riveros D. E. - Munar J.,0.084027778,2.4,1.56,2022-9158,Cordoba,ARG
Baez S. - Verdasco F.,0.083333333,1.2,4.47,2022-9158,Cordoba,ARG
Tabilo A. - Cerundolo F.,0.083333333,1.93,1.87,2022-9158,Cordoba,ARG
Taberner C. - Delbonis F.,0.083333333,2.57,1.49,2022-9158,Cordoba,ARG
Galan Riveros D. E. - Dellien H.,0.083333333,1.73,2.1,2022-9158,Cordoba,ARG
Coria F. - Ficovich J. P.,0.001388889,1.54,2.44,2022-9158,Cordoba,ARG
Ramos A. - Martin A.,0.083333333,1.25,3.96,2022-9158,Cordoba,ARG
Etcheverry T. M. - Jarry N.,0.084027778,2.14,1.7,2022-9158,Cordoba,ARG
Rune H. - Carballes Baena R.,0.001388889,1.6,2.32,2022-9158,Cordoba,ARG
Hanfmann Y. - Londero J. I.,0.001388889,1.71,2.11,2022-9158,Cordoba,ARG
Munar J. - Paire B.,0.083333333,1.48,2.6,2022-9158,Cordoba,ARG
Varillas J. P. - Bagnis F.,0.084027778,1.8,1.99,2022-9158,Cordoba,ARG
Martinez P. - Monteiro T.,0.084027778,1.6,2.31,2022-9158,Cordoba,ARG
Cerundolo J. M. - Dellien H.,canc.,-,-,2022-9158,Cordoba,ARG
Rinderknech A. - Kokkinakis T.,0.043055556,1.98,1.87,2022-9667,Adelaide 2,AUS
Cilic M. - Kokkinakis T.,0.043055556,1.6,2.44,2022-9667,Adelaide 2,AUS
Moutet C. - Rinderknech A.,0.001388889,1.83,2.02,2022-9667,Adelaide 2,AUS
Vukic A. - Kokkinakis T.,0.043055556,2.52,1.51,2022-9667,Adelaide 2,AUS
Monteiro T. - Moutet C.,0.001388889,2.75,1.46,2022-9667,Adelaide 2,AUS
Paul T. - Cilic M.,0.043055556,2.25,1.66,2022-9667,Adelaide 2,AUS
Khachanov K. - Rinderknech A.,0.001388889,1.41,2.9,2022-9667,Adelaide 2,AUS
Moutet C. - Fucsovics M.,0.083333333,2.21,1.67,2022-9667,Adelaide 2,AUS
Monfils G. - Monteiro T.,ret.,1.2,4.62,2022-9667,Adelaide 2,AUS
Kokkinakis T. - Isner J.,0.084027778,1.73,2.1,2022-9667,Adelaide 2,AUS
Vukic A. - Johnson S.,0.083333333,1.87,1.94,2022-9667,Adelaide 2,AUS
Khachanov K. - Mager G.,0.083333333,1.21,4.37,2022-9667,Adelaide 2,AUS
Paul T. - Bonzi B.,0.083333333,1.38,2.98,2022-9667,Adelaide 2,AUS
Munar J. - Cilic M.,0.001388889,3.05,1.37,2022-9667,Adelaide 2,AUS
Rinderknech A. - Kwon S.,0.084027778,1.88,1.91,2022-9667,Adelaide 2,AUS
Monteiro T. - Nishioka Y.,0.084027778,1.86,1.93,2022-9667,Adelaide 2,AUS
Kokkinakis T. - Paire B.,0.083333333,1.28,3.64,2022-9667,Adelaide 2,AUS
Mager G. - Gerasimov E.,0.084027778,2.25,1.64,2022-9667,Adelaide 2,AUS
Van De Zandschulp B. - Fucsovics M.,0.001388889,1.64,2.24,2022-9667,Adelaide 2,AUS
Carballes Baena R. - Bonzi B.,0.001388889,2.35,1.48,2022-9667,Adelaide 2,AUS
Bolt A. - Johnson S.,0.001388889,3.3,1.32,2022-9667,Adelaide 2,AUS
Musetti L. - Bonzi B. ,canc.,2.04,1.88,2022-9667,Adelaide 2,AUS
Kwon S. - Harris L.,0.084027778,2.32,1.6,2022-9667,Adelaide 2,AUS
Moutet C. - Struff J-L.,0.083333333,2,1.8,2022-9667,Adelaide 2,AUS
Mager G. - Djere L. ,canc.,-,-,2022-9667,Adelaide 2,AUS
Millman J. - Munar J.,0.001388889,1.71,2.12,2022-9667,Adelaide 2,AUS
McDonald M. - Rinderknech A.,0.043055556,1.56,2.3,2022-9667,Adelaide 2,AUS
Johnson S. - Monteiro T.,0.083333333,1.51,2.49,2022-9667,Adelaide 2,AUS
Nys H. - Gerasimov E.,0.001388889,9.18,1.05,2022-9667,Adelaide 2,AUS
Tiafoe F. - Paul T.,0.001388889,1.74,2.09,2022-9667,Adelaide 2,AUS
Bublik A. - Vukic A.,0.001388889,1.78,2.1,2022-9667,Adelaide 2,AUS
Nadal R. - Medvedev D.,0.126388889,2.56,1.56,2022-580,Australian Open,AUS
Tsitsipas S. - Medvedev D. ,0.04375,3.29,1.38,2022-580,Australian Open,AUS
Berrettini M. - Nadal R. ,0.04375,3.04,1.42,2022-580,Australian Open,AUS
Auger-Aliassime F. - Medvedev D.,0.085416667,6.56,1.14,2022-580,Australian Open,AUS
Sinner J. - Tsitsipas S.,0.002083333,1.67,2.29,2022-580,Australian Open,AUS
Monfils G. - Berrettini M.,0.085416667,2.49,1.58,2022-580,Australian Open,AUS
Shapovalov D. - Nadal R.,0.085416667,3.27,1.38,2022-580,Australian Open,AUS
Fritz T. - Tsitsipas S.,0.085416667,2.53,1.56,2022-580,Australian Open,AUS
De Minaur A. - Sinner J.,0.002083333,3.02,1.42,2022-580,Australian Open,AUS
Cressy M. - Medvedev D.,0.04375,12.57,1.04,2022-580,Australian Open,AUS
Cilic M. - Auger-Aliassime F.,0.04375,2.32,1.65,2022-580,Australian Open,AUS
Carreno-Busta P. - Berrettini M.,0.002083333,2.86,1.46,2022-580,Australian Open,AUS
Kecmanovic M. - Monfils G.,0.002083333,4.03,1.27,2022-580,Australian Open,AUS
