"tnm","tnc","tnid"
"Buenos Aires","ARG","2022-0506"
"Cordoba","ARG","2022-9158"
"Adelaide 1","AUS","2022-8998"
"Adelaide 2","AUS","2022-9667"
"Australian Open","AUS","2022-580"
"Great Ocean Road Open","AUS","2021-8998"
"Melbourne","AUS","2022-9665"
"Murray River Open","AUS","2021-9428"
"Sydney","AUS","2022-9663"
"Kitzbuhel","AUT","2021-0319"
"Vienna","AUT","2021-0337"
"Antwerp","BEL","2021-7485"
"Rio de Janeiro","BRA","2022-6932"
"Sofia","BUL","2021-7434"
"Canada Masters","CAN","2021-0421"
"Santiago","CHI","2022-8996"
"Umag","CRO","2021-0439"
"Barcelona","ESP","2022-0425"
"Madrid Masters","ESP","2022-1536"
"Mallorca","ESP","2021-8994"
"Marbella","ESP","2021-9462"
"Marrakech","ESP","2022-0360"
"Lyon","FRA","2021-7694"
"Marseille","FRA","2022-0496"
"Metz","FRA","2021-0341"
"Monte Carlo Masters","FRA","2022-0410"
"Montpellier","FRA","2022-0375"
"Paris Masters","FRA","2021-0352"
"Roland Garros","FRA","2021-520"
"Eastbourne","GBR","2021-0741"
"Queen's Club","GBR","2021-0311"
"Wimbledon","GBR","2021-540"
"Halle","GER","2021-0500"
"Hamburg","GER","2021-0414"
"Munich","GER","2022-0308"
"Stuttgart","GER","2021-0321"
"Pune","IND","2022-0891"
"Cagliari","ITA","2021-9481"
"Parma","ITA","2021-9510"
"Rome Masters","ITA","2022-0416"
"Tour Finals","ITA","2021-0605"
"Nur-Sultan","KAZ","2021-9410"
"Acapulco","MEX","2022-0807"
"Los Cabos","MEX","2021-7480"
"Rotterdam","NED","2022-0407"
"Estoril","POR","2022-7290"
"Doha","QAT","2022-0451"
"Moscow","RUS","2021-0438"
"St. Petersburg","RUS","2021-0568"
"Singapore","SIN","2021-9460"
"Belgrade","SRB","2021-5053"
"Belgrade ","SRB","2022-5053"
"Belgrade 2","SRB","2021-9512"
"Geneva","SUI","2021-0322"
"Gstaad","SUI","2021-0314"
"Bastad","SWE","2021-0316"
"Stockholm","SWE","2021-0429"
"Antalya","TUR","2021-9426"
"Dubai","UAE","2022-0495"
"Atlanta","USA","2021-6116"
"Cincinnati Masters","USA","2021-0422"
"Dallas","USA","2022-0424"
"Delray Beach","USA","2022-0499"
"Houston","USA","2022-0717"
"Indian Wells Masters","USA","2022-0404"
"Miami Masters","USA","2022-0403"
"Newport","USA","2021-0315"
"San Diego","USA","2021-9569"
"Us Open","USA","2021-560"
"Washington","USA","2021-0418"
"Winston-Salem","USA","2021-6242"
