name,tourney_country
Delray Beach,USA
Antalya,TUR
Great Ocean Road Open,AUS
Murray River Open,AUS
Australian Open,AUS
Cordoba,ARG
Montpellier,FRA
Singapore,SIN
Buenos Aires,ARG
Rotterdam,NED
Doha,QAT
Marseille,FRA
Santiago,CHI
Acapulco,UAE
Dubai,MEX
Miami Masters,USA
Cagliari,ITA
Marbella,ESP
Monte Carlo Masters,FRA
Barcelona,ESP
Belgrade,SRB
Estoril,POR
Munich,GER
Madrid Masters,ESP
Rome Masters,ITA
Geneva,SUI
Lyon,FRA
Belgrade 2,SRB
Parma,ITA
Roland Garros,FRA
Stuttgart,GER
Halle,GER
Queen's Club,GBR
Eastbourne,GBR
Mallorca,ESP
Wimbledon,GBR
Bastad,SWE
Hamburg,GER
Newport,USA
Gstaad,SUI
Los Cabos,MEX
Umag,CRO
Atlanta,USA
Kitzbuhel,AUT
Washington,USA
Canada Masters,CAN
Cincinnati Masters,USA
Winston-Salem,USA
Us Open,USA
Metz,FRA
Nur-Sultan,KAZ
San Diego,USA
Sofia,BUL
Indian Wells Masters,USA
Antwerp,BEL
Moscow,RUS
St. Petersburg,RUS
Vienna,AUT
Paris Masters,FRA
Stockholm,SWE
Tour Finals,ITA
Adelaide 1,AUS
Melbourne,AUS
Adelaide 2,AUS
Sydney,AUS
Pune,IND
Dallas,USA
Rio de Janeiro,BRA
Houston,USA
Marrakech,ESP
Belgrade ,SRB
